Approval;CreditScore;DebttoIncomeRatio;Interest;RequestAmount
F;572;,02;15750;35000
F;531;,11;5850;13000
T;671;,13;9000;20000
F;484;,14;1350;3000
T;667;,08;13050;29000
F;763;,14;6300;14000
F;641;,07;450;1000
F;728;,28;14400;32000
T;673;,16;4500;10000
T;699;,16;5850;13000
F;622;,01;1800;4000
F;681;,3;11700;26000
F;733;,38;13500;30000
T;728;,07;4950;11000
T;708;,25;15300;34000
F;715;,72;4950;11000
T;722;,23;5850;13000
T;699;,11;1800;4000
F;681;,85;1800;4000
T;675;,17;2250;5000
T;791;,12;4050;9000
F;772;,37;8550;19000
F;575;,06;8100;18000
F;639;,14;17100;38000
T;684;,21;4950;11000
T;673;,34;9900;22000
T;681;,23;4050;9000
F;687;,44;9450;21000
F;717;,23;14850;33000
T;689;,22;2250;5000
F;600;,04;10800;24000
T;745;,14;10350;23000
T;707;,16;9900;22000
T;799;,12;2700;6000
T;822;,16;3600;8000
T;678;,19;5850;13000
T;740;,27;3600;8000
F;546;,2;3600;8000
F;645;,2;12600;28000
F;459;,47;3150;7000
F;655;,13;3600;8000
T;689;,06;1350;3000
F;742;,23;9900;22000
F;557;,13;4950;11000
F;675;,33;4950;11000
T;732;,08;6300;14000
T;737;,24;2250;5000
F;692;,08;2700;6000
F;540;,14;1350;3000
T;696;,13;5400;12000
T;713;,11;10350;23000
T;685;,31;4050;9000
T;709;,22;3600;8000
T;738;,06;1800;4000
F;528;,33;2250;5000
T;735;,09;12600;28000
T;699;,2;4500;10000
F;592;,02;13050;29000
T;770;,28;4500;10000
F;663;,27;8550;19000
F;600;,16;450;1000
F;706;,39;14400;32000
T;687;,1;7650;17000
F;698;,34;7200;16000
T;657;,16;6750;15000
T;715;,11;4500;10000
F;695;,5;2250;5000
F;546;,18;9900;22000
T;716;,13;9450;21000
F;746;,9;8100;18000
T;694;,03;5850;13000
T;739;,17;1350;3000
T;710;,17;3150;7000
T;791;,05;2250;5000
F;755;,08;2250;5000
T;678;,27;4950;11000
T;735;,25;7200;16000
F;679;,19;13050;29000
T;696;,2;1350;3000
F;520;,3;2700;6000
F;664;,14;9000;20000
T;718;,13;2700;6000
T;743;,11;450;1000
T;739;,06;4950;11000
T;738;,18;450;1000
T;742;,15;6300;14000
T;671;,15;3600;8000
T;738;,1;9450;21000
F;590;,28;9450;21000
T;691;,17;7200;16000
T;705;,27;9900;22000
T;704;,19;6300;14000
T;776;,06;3600;8000
F;634;,03;450;1000
T;783;,09;8100;18000
T;699;,26;7200;16000
F;613;,38;4950;11000
T;726;,09;5850;13000
F;714;,13;13500;30000
T;689;,24;4950;11000
T;693;,21;8100;18000
F;721;,03;8100;18000
T;712;,32;11250;25000
F;657;,29;3600;8000
T;664;,01;2250;5000
F;580;,17;1800;4000
F;624;,4;4500;10000
T;721;,1;3150;7000
F;551;,06;900;2000
T;707;,21;3600;8000
F;468;,02;4950;11000
T;688;,23;2250;5000
T;714;,11;9000;20000
T;709;,2;7200;16000
T;718;,12;7650;17000
F;442;,19;2250;5000
T;668;,2;1800;4000
T;775;,13;1350;3000
T;685;,12;11700;26000
T;751;,18;3600;8000
T;695;,18;450;1000
F;671;,41;2250;5000
F;612;,3;16200;36000
T;787;,07;4500;10000
T;682;,26;4950;11000
T;696;,13;11250;25000
T;724;,13;13500;30000
T;698;,14;3600;8000
T;816;,04;9900;22000
T;677;,05;3600;8000
T;771;,04;4950;11000
T;670;,18;2700;6000
T;671;,12;2250;5000
F;628;,16;5850;13000
F;643;,04;10350;23000
T;725;,08;10800;24000
T;673;,13;3600;8000
F;616;,19;3150;7000
T;656;,28;450;1000
F;640;,01;1350;3000
F;739;,26;8550;19000
T;693;,18;3600;8000
T;719;,13;4050;9000
F;447;,24;450;1000
F;681;,39;4500;10000
F;724;,13;4500;10000
T;671;,12;2250;5000
F;634;,41;5400;12000
T;686;,1;2700;6000
T;744;,02;2250;5000
F;526;,02;900;2000
T;675;,22;2700;6000
T;709;,26;4500;10000
T;678;,09;13500;30000
T;678;,18;2700;6000
T;686;,12;4950;11000
T;678;,16;8100;18000
F;522;,22;900;2000
F;624;,14;8100;18000
F;637;,03;3150;7000
F;638;,26;9000;20000
T;709;,09;9450;21000
F;739;,56;11700;26000
F;606;,55;9000;20000
F;669;,41;15750;35000
F;501;,16;900;2000
F;625;,13;16200;36000
F;546;,04;1350;3000
F;698;,33;1800;4000
F;752;,15;10350;23000
T;718;,12;6750;15000
T;699;,14;3600;8000
T;722;,25;8100;18000
T;682;,13;2250;5000
T;677;,02;4050;9000
T;642;,33;5850;13000
F;719;,19;3150;7000
F;588;,21;450;1000
T;742;,2;7200;16000
T;732;,14;2700;6000
T;750;,16;5850;13000
T;670;,27;6300;14000
T;686;,15;5850;13000
T;694;,13;1800;4000
T;707;,1;6750;15000
T;695;,11;11250;25000
T;671;,12;2250;5000
F;653;,34;2250;5000
F;778;,28;9900;22000
T;696;,17;9450;21000
F;664;,03;900;2000
F;580;,19;2700;6000
F;604;,12;9450;21000
F;691;,11;12150;27000
T;784;,19;5850;13000
T;739;,12;11700;26000
F;672;,28;3150;7000
F;659;,47;17100;38000
T;761;,22;2700;6000
F;782;,19;4050;9000
T;720;,23;10350;23000
T;736;,2;2700;6000
T;740;,28;3150;7000
T;706;,11;7650;17000
F;756;,18;5400;12000
F;607;,26;6750;15000
F;655;,25;2700;6000
T;759;,12;15750;35000
T;757;,16;8100;18000
T;762;,18;5850;13000
F;500;,23;5850;13000
F;666;,22;16650;37000
F;655;,28;3150;7000
T;687;,15;1350;3000
F;570;,49;9000;20000
F;681;,56;15300;34000
F;668;,54;4950;11000
F;636;,12;1800;4000
F;595;,03;1800;4000
T;696;,17;900;2000
F;555;,19;4950;11000
F;626;,31;6300;14000
F;566;,34;15300;34000
F;737;,25;8550;19000
F;734;,18;16200;36000
F;645;,2;12600;28000
T;710;,3;7650;17000
F;481;,02;15300;34000
T;700;,24;2250;5000
F;563;,09;900;2000
T;742;,04;6750;15000
T;691;,14;11700;26000
F;583;,34;9000;20000
T;696;,23;3150;7000
T;726;,12;5400;12000
T;712;,11;1800;4000
T;670;,23;4500;10000
F;771;,51;5850;13000
F;592;0;6300;14000
T;660;,23;4500;10000
T;709;,26;11700;26000
T;787;,19;11250;25000
F;629;,01;1800;4000
T;692;,24;4050;9000
T;688;,17;9000;20000
T;680;,08;3600;8000
T;739;,07;4500;10000
F;489;,19;900;2000
F;717;,81;6300;14000
F;574;,21;450;1000
T;685;,06;8550;19000
T;682;,21;11700;26000
F;698;,09;7200;16000
F;613;,33;4500;10000
F;648;,35;12150;27000
F;510;,11;225;500
T;671;,14;6300;14000
T;733;,25;15750;35000
T;776;,12;4950;11000
F;684;,39;900;2000
T;689;,22;2250;5000
T;711;,19;6300;14000
T;694;,01;450;1000
T;679;,02;3600;8000
T;682;,13;4050;9000
T;668;,24;4950;11000
F;647;,11;6300;14000
F;597;,15;11700;26000
F;564;,3;2250;5000
T;670;,15;2700;6000
F;636;,15;1350;3000
F;621;,06;3150;7000
T;767;,1;4950;11000
T;720;,26;4950;11000
T;689;,01;6750;15000
T;681;,14;9900;22000
F;668;,07;1800;4000
F;685;,13;9000;20000
T;718;,2;1800;4000
T;666;,17;11700;26000
F;648;,13;3150;7000
T;673;,25;5400;12000
T;692;,25;2700;6000
F;607;,34;15750;35000
T;686;,07;8550;19000
F;738;,29;3600;8000
T;666;,23;900;2000
T;701;,25;6750;15000
T;759;,21;9900;22000
T;752;,15;4500;10000
T;731;,08;4500;10000
F;669;,24;4950;11000
F;634;,07;2700;6000
T;679;,17;4050;9000
T;736;,06;7650;17000
T;717;,23;10350;23000
F;656;,56;7200;16000
F;702;,37;9450;21000
T;686;,18;6300;14000
F;614;,11;900;2000
T;679;,26;3600;8000
T;681;,24;1800;4000
F;546;,07;450;1000
T;704;,17;2250;5000
F;728;,32;4500;10000
T;668;,17;900;2000
T;690;,12;13950;31000
T;712;,17;16200;36000
F;666;,1;16650;37000
T;707;0;4500;10000
F;579;,1;16200;36000
F;743;,14;13050;29000
F;695;,28;5850;13000
F;496;,01;12600;28000
T;740;,08;900;2000
T;676;,12;3150;7000
T;684;,16;13500;30000
T;717;,14;5850;13000
T;699;,2;4500;10000
F;663;,27;2250;5000
F;477;0;2250;5000
T;656;,09;4950;11000
T;719;,23;3150;7000
T;773;,05;15750;35000
F;579;,12;3600;8000
T;770;,13;7650;17000
T;709;,07;2700;6000
F;441;,37;3600;8000
F;682;,59;1800;4000
F;644;,02;9900;22000
T;703;,16;5850;13000
F;587;,22;900;2000
F;696;,54;14400;32000
F;611;,11;2250;5000
T;686;,11;900;2000
F;599;,34;6300;14000
T;690;,14;10350;23000
F;741;,1;2700;6000
F;635;,03;10350;23000
T;721;,04;9000;20000
T;707;,1;3600;8000
F;595;,19;16650;37000
T;712;,18;9900;22000
F;658;,07;11250;25000
F;543;,37;6300;14000
F;535;,47;2250;5000
F;641;,47;4950;11000
F;563;0;1350;3000
F;701;,04;4050;9000
T;721;,1;3150;7000
F;653;,33;3150;7000
T;707;,02;12150;27000
F;639;,36;3150;7000
T;710;,08;4050;9000
F;511;,18;450;1000
F;607;,04;1800;4000
F;732;,38;12150;27000
T;758;,03;7650;17000
F;644;,47;4500;10000
T;686;,25;3600;8000
F;607;,06;900;2000
F;653;,27;5400;12000
T;721;,1;15750;35000
T;793;,15;450;1000
F;666;,22;9000;20000
F;733;,42;1800;4000
F;551;,15;1350;3000
T;756;,21;4500;10000
F;598;,21;4500;10000
T;716;,21;1350;3000
F;497;,08;225;500
T;728;,08;5850;13000
T;723;,02;4050;9000
F;669;,28;14850;33000
T;774;,01;4500;10000
F;670;,01;14400;32000
T;725;,13;4950;11000
F;710;,06;16650;37000
F;504;,02;1350;3000
T;703;,32;5850;13000
F;707;,26;2700;6000
F;801;0;2250;5000
F;540;,16;4500;10000
F;596;,23;5400;12000
F;696;,36;3150;7000
T;651;,25;2250;5000
F;656;,21;7650;17000
T;788;,02;12600;28000
F;665;,31;4950;11000
F;568;,15;4950;11000
F;690;,08;10800;24000
F;638;,2;3150;7000
F;679;,44;13050;29000
T;776;,15;2700;6000
F;665;,29;10800;24000
T;681;,21;2250;5000
T;705;,19;4500;10000
T;747;,15;4500;10000
T;721;,14;6300;14000
F;680;,49;4500;10000
T;679;,29;3600;8000
T;702;,07;5400;12000
T;753;,14;12150;27000
T;678;,15;3600;8000
T;689;,3;9000;20000
T;713;,27;3150;7000
F;654;,34;11250;25000
T;744;,1;10350;23000
T;713;,2;7200;16000
T;690;,13;6750;15000
F;667;,11;7200;16000
F;716;,41;3150;7000
F;645;,54;3150;7000
T;705;,09;7650;17000
T;789;,07;4050;9000
F;532;,15;4050;9000
T;679;,01;2250;5000
T;754;,05;7200;16000
T;663;,17;1800;4000
T;682;,19;4050;9000
T;774;,07;8100;18000
F;426;,03;225;500
T;677;,25;7650;17000
T;686;,16;1800;4000
F;488;,11;1800;4000
T;784;,03;11700;26000
F;655;,12;4500;10000
T;705;,18;4500;10000
T;774;,08;2700;6000
F;626;,19;450;1000
F;654;,03;4950;11000
F;659;,36;8100;18000
T;749;,12;6300;14000
T;693;,13;4050;9000
F;680;,34;5400;12000
F;619;,27;7200;16000
F;522;,11;3150;7000
T;692;,1;8100;18000
T;699;,12;3150;7000
F;713;,48;16650;37000
T;794;,19;8100;18000
T;684;,16;9450;21000
T;677;,09;9450;21000
T;686;,2;1800;4000
F;480;,18;1350;3000
T;769;,04;5850;13000
T;699;,14;9000;20000
T;700;,17;11250;25000
F;521;,35;4950;11000
T;737;,21;12600;28000
F;556;,14;6300;14000
T;739;,06;5400;12000
T;753;,13;900;2000
F;662;,01;4050;9000
F;629;,17;10350;23000
T;708;,19;4950;11000
T;682;,36;900;2000
F;655;,4;6750;15000
F;488;0;900;2000
F;630;,18;1800;4000
T;737;,1;5850;13000
T;739;,12;10800;24000
T;769;,02;4050;9000
T;663;,05;10800;24000
T;716;,24;5850;13000
F;735;,43;900;2000
T;712;,21;12600;28000
F;566;,02;2250;5000
F;544;,02;15750;35000
T;797;,19;8550;19000
F;638;,12;7200;16000
F;532;,03;900;2000
T;727;,1;2700;6000
F;707;,05;15750;35000
T;734;,16;8550;19000
F;676;,28;5850;13000
T;789;,12;3600;8000
F;637;,08;8100;18000
T;725;,13;2700;6000
F;651;,21;4050;9000
F;612;,14;3150;7000
F;548;,11;2250;5000
T;662;,03;7650;17000
T;779;,18;14400;32000
T;699;,08;4050;9000
F;634;,33;4050;9000
F;652;,13;10350;23000
F;647;,24;8100;18000
T;670;,14;5850;13000
T;778;,08;4500;10000
T;765;,05;4500;10000
T;743;,08;1350;3000
T;676;,21;4500;10000
T;750;0;2700;6000
T;672;,11;8550;19000
T;695;,24;4500;10000
T;721;,07;4950;11000
F;660;,11;10800;24000
F;668;,18;5400;12000
F;583;,02;1350;3000
T;694;,31;3150;7000
T;683;,27;3600;8000
T;688;,09;1800;4000
F;433;,08;3150;7000
F;609;,06;4500;10000
F;702;,26;12150;27000
T;689;,08;5850;13000
F;612;,07;12600;28000
T;720;,24;10350;23000
F;681;,1;2250;5000
T;690;,02;3600;8000
T;664;,07;9450;21000
F;654;,18;4050;9000
T;677;,19;900;2000
T;693;,03;9450;21000
T;729;,25;3600;8000
T;683;,02;3150;7000
T;718;,17;3150;7000
F;637;,13;8100;18000
F;552;,12;900;2000
F;542;,04;1350;3000
T;704;,2;6300;14000
T;801;,11;4050;9000
T;677;,18;2250;5000
T;712;,13;4500;10000
F;681;,39;1350;3000
F;726;,41;12600;28000
F;689;,42;1800;4000
F;813;,03;4050;9000
F;511;,32;2700;6000
F;517;,15;450;1000
F;653;,21;6750;15000
T;690;,23;1350;3000
F;590;,11;5400;12000
T;688;,12;4050;9000
F;576;,12;4950;11000
F;509;,02;2250;5000
F;493;,18;3150;7000
T;752;,04;2700;6000
F;664;,18;7200;16000
F;627;,1;16200;36000
F;709;,26;17550;39000
F;712;,43;2250;5000
T;728;,11;2250;5000
T;726;,17;8550;19000
T;687;,31;3150;7000
T;699;,21;4050;9000
T;741;,02;7200;16000
F;701;,29;3150;7000
T;770;,01;12150;27000
T;690;,12;7200;16000
F;689;,42;13050;29000
F;565;,2;15750;35000
T;679;,2;4050;9000
F;610;,55;4050;9000
F;698;,52;5400;12000
T;707;,04;2700;6000
F;628;,39;450;1000
T;701;,14;6300;14000
T;690;,03;5850;13000
F;672;,36;1800;4000
T;749;,08;1800;4000
F;514;,24;900;2000
F;588;,06;1800;4000
F;678;,16;5400;12000
T;704;,07;9900;22000
T;734;,2;8100;18000
T;742;,17;10350;23000
F;640;,07;14850;33000
T;670;,07;4500;10000
T;692;,26;2250;5000
F;519;,01;13500;30000
T;676;,16;1350;3000
F;670;,02;9900;22000
T;698;,12;6300;14000
T;731;,06;4500;10000
F;657;0;1800;4000
T;710;,26;11700;26000
T;704;,27;10350;23000
T;722;,08;3150;7000
F;745;,79;13500;30000
F;677;,01;15300;34000
T;707;,18;8550;19000
F;644;,42;12600;28000
T;746;,25;9450;21000
T;678;,2;7200;16000
T;688;,11;900;2000
F;628;,15;9450;21000
T;666;,08;4500;10000
F;547;,83;3150;7000
F;669;,38;15750;35000
F;700;,3;4500;10000
T;675;,15;10800;24000
T;730;,06;450;1000
T;697;,08;8550;19000
T;747;,07;9000;20000
T;689;,16;7650;17000
T;681;,2;4050;9000
F;676;,12;10350;23000
T;694;,13;7650;17000
T;747;,13;8550;19000
F;614;,32;225;500
T;671;,2;450;1000
T;683;,12;9000;20000
T;726;,08;4950;11000
T;697;,3;15300;34000
F;642;,15;3150;7000
F;653;,14;9450;21000
T;675;,19;3150;7000
T;660;,12;4050;9000
T;698;,19;4950;11000
T;669;,2;3150;7000
T;677;,2;11250;25000
T;707;,15;3150;7000
F;705;,33;8550;19000
T;763;,23;3150;7000
T;781;,16;12150;27000
T;695;,16;225;500
T;691;,26;8100;18000
F;734;,31;8550;19000
T;737;,05;2700;6000
T;720;,26;2250;5000
T;740;,21;13950;31000
T;665;,19;10350;23000
T;692;,15;10350;23000
F;661;,02;5850;13000
T;683;,17;4050;9000
F;507;,17;5850;13000
T;745;,13;15300;34000
F;670;,33;6750;15000
F;541;,24;900;2000
F;697;,72;450;1000
F;786;,35;11700;26000
T;719;,18;8550;19000
T;797;,12;5400;12000
T;672;,1;2700;6000
F;601;,12;3600;8000
F;534;,47;900;2000
F;685;,31;5400;12000
T;793;,02;5400;12000
F;561;,14;900;2000
T;697;,12;4050;9000
F;590;,16;10350;23000
F;634;,51;1350;3000
F;732;,09;10350;23000
F;767;,15;225;500
F;650;,06;2700;6000
T;785;,11;1800;4000
T;665;,2;1800;4000
T;714;,08;8550;19000
F;669;,38;8100;18000
T;679;,21;3150;7000
F;748;,34;2700;6000
F;628;,55;11250;25000
T;696;,19;1800;4000
F;680;,15;4950;11000
F;559;,14;450;1000
T;717;,11;10800;24000
F;687;,29;2250;5000
F;596;,19;1800;4000
F;704;,15;1800;4000
T;700;,09;6300;14000
F;625;,21;1350;3000
T;707;,05;2250;5000
T;671;,17;11250;25000
F;719;,01;4050;9000
F;679;,24;9000;20000
F;694;,06;10800;24000
T;675;,14;1350;3000
T;732;0;8100;18000
F;636;,14;13050;29000
F;461;,11;450;1000
T;692;,22;3600;8000
F;844;,04;900;2000
T;722;,19;4500;10000
F;623;,04;450;1000
T;711;,14;7650;17000
F;676;,23;1800;4000
T;664;,05;225;500
F;661;,02;4950;11000
F;554;,22;450;1000
F;491;,03;7650;17000
F;639;,13;2700;6000
F;545;,26;1350;3000
T;698;,13;3150;7000
T;666;,03;900;2000
T;737;,17;11250;25000
T;706;,19;7200;16000
T;702;,19;7650;17000
F;705;,04;12150;27000
T;692;,13;4050;9000
T;681;,21;2250;5000
T;773;,04;5400;12000
F;669;,4;6300;14000
F;482;,41;450;1000
T;690;,14;4500;10000
F;655;,23;450;1000
T;719;,19;8100;18000
F;468;,03;1800;4000
T;685;,2;3150;7000
T;794;,14;5400;12000
T;704;,16;3150;7000
F;657;,05;4500;10000
T;716;,14;2250;5000
T;808;,05;3150;7000
F;719;,39;900;2000
F;537;,02;6750;15000
T;673;,19;3150;7000
T;696;,07;3600;8000
T;734;,18;7200;16000
T;677;,19;10800;24000
F;744;,16;1800;4000
F;680;,1;6300;14000
F;623;,47;900;2000
F;628;,07;2250;5000
T;672;,06;2250;5000
F;776;,41;3600;8000
T;679;,18;6300;14000
T;710;,23;3150;7000
T;786;,01;3600;8000
T;686;,16;450;1000
T;671;,18;4050;9000
F;548;,22;4950;11000
T;743;,05;4050;9000
T;704;,25;4050;9000
F;661;,07;5400;12000
T;708;,06;4950;11000
T;653;,25;5850;13000
T;702;,19;4050;9000
F;546;,38;1800;4000
F;730;,39;4500;10000
F;624;,03;9450;21000
F;542;,04;4500;10000
T;698;,13;9000;20000
F;603;,08;3600;8000
T;689;,13;3150;7000
T;662;,15;8100;18000
F;469;,02;1350;3000
T;794;,02;14850;33000
F;692;,52;1800;4000
F;660;,02;1800;4000
F;628;,08;2700;6000
F;679;,26;17100;38000
T;712;,27;3150;7000
T;688;,07;4500;10000
F;561;,25;10800;24000
T;700;,17;8100;18000
F;532;,26;15750;35000
T;695;,22;4050;9000
F;565;,16;1800;4000
T;696;,04;4950;11000
F;646;,27;7650;17000
F;628;,56;14400;32000
T;695;,25;1350;3000
F;605;,08;450;1000
F;435;,28;450;1000
F;681;,26;13050;29000
T;705;,12;7650;17000
F;617;,1;5850;13000
F;663;,26;7650;17000
T;674;,2;5850;13000
F;702;,58;14850;33000
F;708;,33;1350;3000
T;734;,23;4050;9000
T;771;,3;5850;13000
T;666;,3;8100;18000
T;791;,07;6300;14000
F;541;,73;2250;5000
F;660;,23;8100;18000
T;667;,18;2700;6000
T;726;,2;5400;12000
T;680;,05;2700;6000
F;622;,26;5400;12000
T;709;,13;11250;25000
T;689;,19;1350;3000
T;678;,13;450;1000
F;712;,4;5850;13000
T;794;,06;2700;6000
T;743;,24;6300;14000
T;671;,34;10800;24000
T;696;,08;2700;6000
F;595;,26;3600;8000
F;642;,17;11700;26000
T;709;,16;9900;22000
F;745;,02;16200;36000
T;660;,05;2250;5000
F;668;,07;1800;4000
F;703;,02;7200;16000
T;685;,18;2700;6000
F;653;,17;16650;37000
F;670;,29;4050;9000
T;680;,14;11250;25000
F;595;,05;9450;21000
F;674;,2;1350;3000
T;716;,23;16650;37000
F;444;,04;1800;4000
F;438;,02;900;2000
F;446;,04;13500;30000
F;636;,2;3600;8000
T;781;,12;4050;9000
T;728;,07;4050;9000
F;662;,32;2250;5000
T;676;,11;5850;13000
F;655;,05;4050;9000
F;701;,11;15300;34000
F;562;,08;225;500
F;574;,09;450;1000
F;650;,36;9000;20000
F;557;,56;14400;32000
F;676;,22;14400;32000
F;649;,15;5850;13000
F;618;,4;16650;37000
T;706;,16;4950;11000
T;699;,17;6300;14000
T;752;,04;5850;13000
T;728;,06;11250;25000
T;739;,09;1350;3000
F;624;,25;3150;7000
F;698;,15;9900;22000
F;651;,45;1350;3000
F;675;0;1350;3000
F;641;,03;4050;9000
F;602;,21;1800;4000
T;750;,08;10800;24000
F;516;0;4500;10000
T;686;,14;13050;29000
T;670;,06;2250;5000
T;678;,21;2250;5000
T;788;,04;15300;34000
T;737;,12;3600;8000
F;603;,47;14850;33000
T;679;,2;4500;10000
F;673;,13;900;2000
T;700;,02;1350;3000
F;636;,07;6300;14000
T;690;,12;8550;19000
T;661;,2;2700;6000
T;698;,15;10350;23000
F;523;,06;450;1000
F;568;,11;4500;10000
T;709;,17;4050;9000
T;675;,2;4500;10000
F;701;,07;15300;34000
T;694;,06;4050;9000
F;613;,08;6300;14000
F;650;,16;11250;25000
T;719;,11;5850;13000
T;737;,13;3150;7000
F;659;,22;7200;16000
T;671;,05;4050;9000
F;640;,31;2250;5000
F;501;,03;900;2000
F;719;,54;2700;6000
T;679;,18;5850;13000
F;735;,01;12150;27000
T;663;,19;4950;11000
F;655;,2;4500;10000
F;646;,33;3150;7000
T;748;0;450;1000
T;706;,09;6300;14000
F;647;,08;1350;3000
T;672;,16;6750;15000
T;741;,11;7650;17000
T;702;,01;6300;14000
T;710;,13;2250;5000
F;694;,23;10800;24000
F;454;,08;5850;13000
T;669;,17;4950;11000
T;703;,13;7200;16000
T;725;,16;4950;11000
F;678;,37;17100;38000
T;717;,21;7200;16000
T;676;,06;5850;13000
T;763;,11;8100;18000
F;688;,23;16200;36000
F;507;,51;17550;39000
F;753;,13;4950;11000
F;608;,08;13050;29000
F;676;,06;2250;5000
T;779;,05;3150;7000
T;699;,16;1350;3000
T;676;,12;4950;11000
T;695;,32;6750;15000
F;645;,03;1350;3000
F;661;,25;5400;12000
F;667;,03;5400;12000
T;663;,09;6300;14000
F;689;,08;4500;10000
T;694;,26;3150;7000
T;689;,08;9450;21000
T;690;,13;10350;23000
T;700;,17;1800;4000
F;608;,38;7650;17000
F;583;,1;1350;3000
T;676;,11;1800;4000
T;700;,23;8550;19000
F;563;,15;1800;4000
T;739;,15;3150;7000
T;655;,26;7650;17000
F;529;,14;1800;4000
F;627;,13;6300;14000
T;696;,16;8100;18000
T;705;,06;4950;11000
F;666;,13;5400;12000
T;683;,29;11250;25000
F;700;,01;9900;22000
T;719;,21;9000;20000
T;679;,19;8550;19000
T;705;,2;4500;10000
T;699;,19;9900;22000
F;676;,11;3150;7000
F;619;,38;2250;5000
F;538;,23;3600;8000
T;733;,08;14400;32000
F;499;,21;12150;27000
F;716;,04;2250;5000
T;692;,22;3150;7000
F;677;0;13500;30000
T;727;,1;3600;8000
F;664;,04;4950;11000
F;575;,78;900;2000
T;724;,16;17550;39000
T;694;,14;1800;4000
T;718;,12;7650;17000
F;670;,59;5850;13000
F;593;,15;450;1000
F;649;,14;15750;35000
T;707;,21;4500;10000
F;579;,06;8550;19000
T;737;,12;3600;8000
T;691;,25;11700;26000
T;808;,11;9000;20000
F;688;,24;1800;4000
T;709;,07;3600;8000
T;674;,08;3600;8000
T;673;,11;8550;19000
T;673;,26;5850;13000
T;707;,12;1350;3000
F;652;,05;450;1000
T;702;,06;7650;17000
F;679;,38;4500;10000
F;575;,04;4050;9000
T;655;,04;450;1000
F;630;,01;1350;3000
T;709;,21;10800;24000
T;704;,23;5400;12000
T;741;,13;2700;6000
F;709;,51;4950;11000
F;629;0;4050;9000
T;667;,1;7200;16000
T;763;,21;7650;17000
F;619;,65;6300;14000
T;677;,19;10800;24000
T;725;,21;1350;3000
T;758;,07;2250;5000
T;764;,05;13950;31000
T;768;,06;16200;36000
T;671;,02;1350;3000
F;632;,25;16650;37000
F;594;,23;2250;5000
F;706;,11;11700;26000
T;706;,19;9450;21000
T;706;,14;10800;24000
F;678;,44;13950;31000
T;703;,2;3150;7000
T;702;,1;3150;7000
T;699;,15;5400;12000
F;745;,29;13500;30000
T;655;,04;450;1000
T;670;,28;2700;6000
F;676;,25;9900;22000
T;690;,16;225;500
F;659;,18;225;500
F;631;,15;2250;5000
T;725;,19;2250;5000
T;712;,19;3150;7000
T;759;,03;3150;7000
T;770;,08;3150;7000
F;708;,03;7650;17000
F;704;,67;8100;18000
T;673;,12;8550;19000
F;726;,29;8550;19000
T;725;,18;8550;19000
F;659;,24;2700;6000
F;617;,06;4050;9000
F;669;,49;1800;4000
T;653;,19;4500;10000
T;783;,05;3600;8000
F;617;,38;7650;17000
F;649;,15;4950;11000
T;739;,1;9450;21000
T;685;,19;4950;11000
F;647;,04;3600;8000
T;771;,09;4500;10000
F;650;,26;11250;25000
T;750;,11;13950;31000
F;661;,17;16650;37000
T;786;,13;3600;8000
T;702;,21;3600;8000
T;712;,18;4500;10000
F;685;,83;8550;19000
F;445;,09;2700;6000
T;796;,15;900;2000
T;669;,19;2250;5000
T;708;,15;10800;24000
T;756;,09;2700;6000
T;735;,12;7200;16000
T;741;,17;6750;15000
T;706;,14;3150;7000
F;726;,38;3600;8000
T;720;,17;12600;28000
T;744;,16;6300;14000
T;677;,23;6300;14000
T;720;,08;4950;11000
T;738;,17;6300;14000
F;705;,33;8100;18000
F;680;,87;12150;27000
T;697;,05;7200;16000
F;672;,31;5400;12000
T;740;,02;7650;17000
F;689;,46;16200;36000
T;699;,25;11250;25000
T;737;,05;1800;4000
F;585;,22;4050;9000
F;623;,05;15300;34000
F;721;,1;4050;9000
F;528;,02;450;1000
F;681;,15;4500;10000
T;678;,1;2700;6000
T;679;,27;8100;18000
T;707;,17;9900;22000
F;687;,49;9450;21000
F;641;,13;2250;5000
T;672;,17;4950;11000
F;664;,26;9900;22000
T;664;,19;8100;18000
T;685;,12;7650;17000
F;618;,25;9000;20000
T;668;,03;225;500
F;490;,03;4950;11000
T;665;,19;5400;12000
F;644;,14;3600;8000
F;674;,19;900;2000
F;736;,22;10350;23000
F;508;,04;2250;5000
T;705;,18;900;2000
F;512;,01;2700;6000
F;690;,22;5400;12000
T;767;,01;1350;3000
F;680;,36;5400;12000
T;684;,1;3600;8000
T;712;,13;5400;12000
F;664;,04;2250;5000
T;690;,19;8550;19000
T;690;,1;12600;28000
F;618;,19;8100;18000
T;676;,16;8100;18000
T;671;,07;4500;10000
T;743;,14;2250;5000
F;581;,32;13050;29000
F;588;,31;6300;14000
T;692;,19;1800;4000
F;627;,33;4500;10000
F;714;,4;6750;15000
T;679;,13;3600;8000
F;662;,05;1800;4000
T;789;,1;3600;8000
T;696;,25;2700;6000
T;719;,09;7650;17000
T;678;,17;8550;19000
T;718;,15;3600;8000
F;606;,29;11700;26000
F;705;,03;1800;4000
F;569;,08;4500;10000
T;679;,08;2700;6000
F;646;,19;16200;36000
F;671;,31;9900;22000
T;715;,3;7650;17000
F;662;,27;10800;24000
T;736;,17;11250;25000
F;708;,18;225;500
F;530;,1;1800;4000
T;711;,26;5400;12000
